candidate,scene,group,value,rows,correct,closed_accuracy,accepted,coverage,accepted_correct,accepted_accuracy
A4,clean,RX_TX,7:3,4000,1661,0.41525,3805,0.95125,1585,0.41655716162943496
A4,clean,RX_TX,7:4,4000,3983,0.99575,3969,0.99225,3960,0.9977324263038548
A4,clean,RX_TX,7:5,4000,3388,0.847,3801,0.95025,3325,0.8747697974217311
A4,clean,RX_TX,9:0,4000,3438,0.8595,3946,0.9865,3413,0.8649265078560567
A4,clean,RX_TX,9:1,4000,1874,0.4685,3548,0.887,1640,0.46223224351747466
A4,clean,RX_TX,9:2,4000,2511,0.62775,2746,0.6865,2243,0.8168244719592134
A4,clean,RX_TX,9:3,4000,3947,0.98675,3949,0.98725,3929,0.9949354266903013
A4,clean,RX_TX,9:4,4000,3998,0.9995,4000,1.0,3998,0.9995
A4,clean,RX_TX,9:5,4000,2821,0.70525,2631,0.65775,2181,0.8289623717217788
A4,clean,RX_TX,10:0,4000,3988,0.997,3990,0.9975,3984,0.9984962406015038
A4,clean,RX_TX,10:1,4000,2594,0.6485,3437,0.85925,2279,0.6630782659295897
A4,clean,RX_TX,10:2,4000,2989,0.74725,3485,0.87125,2745,0.787661406025825
